ds,yhat,yhat_lower,yhat_upper,trend,weekly,daily,hourly,yhat_energy,yhat_energy_lower,yhat_energy_upper,yhat_retail,yhat_retail_lower,yhat_retail_upper
2024-04-05 12:00:00,31.500441179424875,-47.60633550872341,110.9770366852337,82.99738325199999,-0.011960080069394956,-0.33005279999905146,0.022132049532302422,36.54904250324026,70.0,180.9770366852337,106.54904250324026,140.0,250.9770366852337
2024-04-05 13:00:00,28.233792976667843,-59.67392139421783,110.89047154676658,82.99738325199999,-0.009773604228999686,-0.3700235674147953,0.02147903685185133,35.00678324130563,70.0,180.89047154676658,105.00678324130563,140.0,250.89047154676658
2024-04-05 14:00:00,29.795592258012853,-54.239361907739614,107.25398519187021,82.99738325199999,-0.0044310166147802435,-0.35494781049123414,0.020788728181745764,35.45361091271957,70.0,177.2539851918702,105.45361091271957,140.0,247.2539851918702
2024-04-05 15:00:00,37.52252103453097,-43.90525724587229,123.63889240231154,82.99738325199999,0.0042337654401215855,-0.2688991645336319,0.02007363504343751,41.991625795387584,70.0,193.63889240231154,111.99162579538759,140.0,263.6388924023115
2024-04-05 16:00:00,52.97240577064841,-36.523944401658845,135.5718974234281,82.99738325199999,0.016117316089916258,-0.09301710301406285,0.019346091475807643,55.40223029390745,70.0,205.5718974234281,125.40223029390745,140.0,275.57189742342814
2024-04-05 17:00:00,73.99987387116865,-9.880837086666924,157.36249837146264,82.99738325199999,0.030763752556438113,0.1472935130071029,0.018618014072292483,74.71689446551767,70.0,227.36249837146264,144.71689446551767,140.0,297.3624983714626
2024-04-05 18:00:00,93.4286192069562,10.574426458914422,176.0505957908534,82.99738325199999,0.04731038999998129,0.3664196999959414,0.017900676778245257,93.62726942445322,80.57442645891442,246.0505957908534,163.62726942445323,150.57442645891442,316.05059579085344
2024-04-05 19:00:00,102.8055117886741,8.469613177129116,182.80315521976897,82.99738325199999,0.06447538568095897,0.46378457677317114,0.017204504982265466,102.96288274072812,78.46961317712912,252.80315521976897,172.9628827407281,148.46961317712913,322.803155219769
2024-04-05 20:00:00,98.5182309592748,17.122256529757557,187.6564362419006,82.99738325199999,0.08059686263410606,0.39751717123165725,0.016538892978826488,98.69483274076067,87.12225652975755,257.65643624190056,168.69483274076066,157.12225652975755,327.65643624190056
2024-04-05 21:00:00,84.701892155888,2.041203006528491,167.4981352184005,82.99738325199999,0.09372738277615275,0.21937880649107389,0.01591204837400257,85.05383705097266,72.04120300652849,237.4981352184005,155.05383705097267,142.0412030065285,307.49813521840053
2024-04-05 22:00:00,69.9564938364377,-15.243609321597376,153.15396031144496,82.99738325199999,0.10178088390154204,0.03506621048765386,0.01533086641770731,70.88982852451386,70.0,223.15396031144496,140.88982852451386,140.0,293.15396031144496
2024-04-05 23:00:00,60.61896311723871,-24.671569075449707,138.0101789148061,82.99738325199999,0.10272208728477443,-0.07704004497591822,0.01480083660759803,61.94845476539101,70.0,208.0101789148061,131.948454765391,140.0,278.0101789148061
2024-04-06 00:00:00,56.61557709277236,-30.127938964869283,145.01743538480326,82.99738325199999,0.09478180997501552,-0.11606319999936729,0.014325983233730095,58.796094483384735,70.0,215.01743538480326,128.79609448338473,140.0,285.01743538480326
2024-04-06 01:00:00,53.46386058327841,-36.67870168833461,136.21127843117134,82.99738325199999,0.07667646263925129,-0.13472976943785706,0.01390884081734292,55.876922410550186,70.0,206.21127843117134,125.87692241055018,140.0,276.2112784311713
2024-04-06 02:00:00,48.1043879246578,-32.75975607542521,130.96401658827247,82.99738325199999,0.04780704558132863,-0.16930366204413985,0.013550464675400324,50.6890817085644,70.0,200.96401658827247,120.6890817085644,140.0,270.96401658827244
2024-04-06 03:00:00,42.636076670915855,-33.33726832590361,124.29918696689055,82.99738325199999,0.008412716031565437,-0.1947348354687887,0.013250476115336073,45.61940439351192,70.0,194.29918696689055,115.61940439351193,140.0,264.29918696689055
2024-04-06 04:00:00,42.218689666559975,-42.64456788478123,125.78037959539077,82.99738325199999,-0.04034327159771223,-0.150017171223122,0.013007141051149727,45.918457258158455,70.0,195.78037959539077,115.91845725815845,140.0,265.78037959539074
